name,cals,fat,carbs,protein,nutr_code
"Beans, chili, barbecue, ranch style, cooked",0.97,0.09,0.6759999999999999,0.2,43112
"Beans, cranberry (roman), mature seeds, canned",0.83,0.025200000000000004,0.6048,0.2216,16021
"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",1.36,0.0414,0.9784,0.3736,16320
"Beans, cranberry (roman), mature seeds, cooked, boiled, without salt",1.36,0.0414,0.9784,0.3736,16020
"Beans, cranberry (roman), mature seeds, raw",3.35,0.1107,2.402,0.9212,16019
"Beans, fava, in pod, raw",0.88,0.0657,0.7051999999999999,0.3168,11973
"Beans, french, mature seeds, cooked, boiled, with salt",1.29,0.0684,0.9608,0.282,16323
"Beans, french, mature seeds, cooked, boiled, without salt",1.29,0.0684,0.9608,0.282,16023
"Beans, french, mature seeds, raw",3.43,0.1818,2.5644,0.7524,16022
"Beans, great northern, mature seeds, canned",1.14,0.0351,0.8408,0.2948,16026
"Beans, great northern, mature seeds, canned, low sodium",1.14,0.0351,0.8408,0.2948,16326
"Beans, great northern, mature seeds, cooked, boiled, with salt",1.18,0.040500000000000015,0.8436,0.3332,16325
"Beans, great northern, mature seeds, cooked, boiled, without salt",1.18,0.040500000000000015,0.8436,0.3332,16025
"Beans, great northern, mature seeds, raw",3.39,0.10259999999999997,2.4948,0.8744,16024
"Beans, kidney, all types, mature seeds, canned",0.84,0.054000000000000006,0.58,0.2088,16029
"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",1.27,0.045,0.912,0.3468,16328
"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",1.27,0.045,0.912,0.3468,16028
"Beans, kidney, all types, mature seeds, raw",3.33,0.0747,2.4004,0.9432,16027
"Beans, kidney, california red, mature seeds, cooked, boiled, with salt",1.24,0.0081,0.8964,0.3652,16331
"Beans, kidney, california red, mature seeds, cooked, boiled, without salt",1.24,0.0081,0.8964,0.3652,16031
"Beans, kidney, california red, mature seeds, raw",3.3,0.0225,2.392,0.9748,16030
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",0.33,0.0522,0.1888,0.1932,11713
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",0.33,0.0522,0.1888,0.1932,11030
"Beans, kidney, mature seeds, sprouted, raw",0.29,0.045,0.16399999999999998,0.168,11029
"Beans, kidney, red, mature seeds, canned, drained solids",1.24,0.0945,0.8595999999999999,0.31920000000000004,16145
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",1.21,0.08370000000000001,0.8320000000000001,0.3248,16335
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",0.81,0.0324,0.5932,0.2088,16337
"Beans, kidney, red, mature seeds, canned, solids and liquids",0.81,0.0324,0.5932,0.2088,16034
"Beans, kidney, red, mature seeds, cooked, boiled, with salt",1.27,0.045,0.912,0.3468,16333
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",1.27,0.045,0.912,0.3468,16033
"Beans, kidney, red, mature seeds, raw",3.37,0.0954,2.4516,0.9012,16032
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",1.23,0.0153,0.8740000000000001,0.3796,16336
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",1.23,0.0153,0.8740000000000001,0.3796,16036
"Beans, kidney, royal red, mature seeds, raw",3.29,0.040500000000000015,2.3332,1.0132,16035
"Beans, liquid from stewed kidney beans",0.47,0.28800000000000003,0.112,0.07200000000000001,43125
